,segment_code,segment_name,family_code,family_name,class_code,class_name,commodity_code,commodity_name
0,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101500,Animaux d'élevage,10101501,Chat
1,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101500,Animaux d'élevage,10101502,Chien
2,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101500,Animaux d'élevage,10101504,Vison
3,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101500,Animaux d'élevage,10101505,Rat
4,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101500,Animaux d'élevage,10101506,Cheval
5,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101500,Animaux d'élevage,10101507,Mouton
6,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101500,Animaux d'élevage,10101508,Chèvre
7,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101500,Animaux d'élevage,10101509,Âne
8,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101500,Animaux d'élevage,10101510,Souris
9,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101500,Animaux d'élevage,10101511,Porc
10,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101500,Animaux d'élevage,10101512,Lapin
11,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101500,Animaux d'élevage,10101513,Cochon d'Inde
12,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101500,Animaux d'élevage,10101514,Primate
13,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101500,Animaux d'élevage,10101515,Tatou
14,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101500,Animaux d'élevage,10101516,Bovins
15,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101500,Animaux d'élevage,10101517,Chameau
16,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101600,Oiseaux et volailles,10101601,Poulets vivants
17,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101600,Oiseaux et volailles,10101602,Canard vivant
18,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101600,Oiseaux et volailles,10101603,Dindon vivant
19,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101600,Oiseaux et volailles,10101604,Oie vivante
20,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101600,Oiseaux et volailles,10101605,Faisan vivant
21,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101700,Poissons vivants,10101701,Saumon vivant
22,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101700,Poissons vivants,10101702,Truite vivante
23,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101700,Poissons vivants,10101703,Tilapia vivant
24,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101700,Poissons vivants,10101704,Carpe vivante
25,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101700,Poissons vivants,10101705,Anguille vivante
26,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101800,Crustacés et mollusques,10101801,Crevette vivante
27,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101800,Crustacés et mollusques,10101802,Palourde vivante
28,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101800,Crustacés et mollusques,10101803,Moule vivante
29,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101800,Crustacés et mollusques,10101804,Huître vivante
30,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101800,Crustacés et mollusques,10101805,Crabe vivant
31,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101800,Crustacés et mollusques,10101806,Ormeau vivant
32,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101800,Crustacés et mollusques,10101807,Pieuvre vivante
33,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101800,Crustacés et mollusques,10101808,Calmar vivant
34,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101900,Insectes,10101901,Papillon
35,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101900,Insectes,10101902,Coléoptère
36,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101900,Insectes,10101903,Abeille
37,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10101900,Insectes,10101904,Ver à soie
38,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10102000,Animaux sauvages,10102001,Éléphant
39,10000000,"Plantes et animaux vivants, accessoires et fournitures",10100000,Animaux vivants,10102000,Animaux sauvages,10102002,Renards vivants
40,10000000,"Plantes et animaux vivants, accessoires et fournitures",10110000,Produits d'animaux domestiques,10111300,Accessoires et équipements pour le traitement d'animaux domestiques,10111301,Jouets pour animaux domestiques
41,10000000,"Plantes et animaux vivants, accessoires et fournitures",10110000,Produits d'animaux domestiques,10111300,Accessoires et équipements pour le traitement d'animaux domestiques,10111302,Produits de toilettage d'animaux domestiques
42,10000000,"Plantes et animaux vivants, accessoires et fournitures",10110000,Produits d'animaux domestiques,10111300,Accessoires et équipements pour le traitement d'animaux domestiques,10111303,Litière ou équipement de gestion des déchets d'animaux domestiques
43,10000000,"Plantes et animaux vivants, accessoires et fournitures",10110000,Produits d'animaux domestiques,10111300,Accessoires et équipements pour le traitement d'animaux domestiques,10111304,Bols ou matériel pour nourriture d'animaux domestiques
44,10000000,"Plantes et animaux vivants, accessoires et fournitures",10110000,Produits d'animaux domestiques,10111300,Accessoires et équipements pour le traitement d'animaux domestiques,10111305,Traitements médicamenteux pour animaux domestiques
45,10000000,"Plantes et animaux vivants, accessoires et fournitures",10110000,Produits d'animaux domestiques,10111300,Accessoires et équipements pour le traitement d'animaux domestiques,10111306,Trousse de dressage d'animaux domestiques
46,10000000,"Plantes et animaux vivants, accessoires et fournitures",10110000,Produits d'animaux domestiques,10111300,Accessoires et équipements pour le traitement d'animaux domestiques,10111307,Couvertures pour animaux domestiques
47,10000000,"Plantes et animaux vivants, accessoires et fournitures",10120000,Nourriture pour animaux,10121500,Fourrage pour animaux d'élevage,10121501,Son de blé pur
48,10000000,"Plantes et animaux vivants, accessoires et fournitures",10120000,Nourriture pour animaux,10121500,Fourrage pour animaux d'élevage,10121502,Avoine fourragère
49,10000000,"Plantes et animaux vivants, accessoires et fournitures",10120000,Nourriture pour animaux,10121500,Fourrage pour animaux d'élevage,10121503,Maïs fourrager
50,10000000,"Plantes et animaux vivants, accessoires et fournitures",10120000,Nourriture pour animaux,10121500,Fourrage pour animaux d'élevage,10121504,Sorgho fourrager
