,link,title,type,contract_type,date_publication,date_conclusion,date_complaints,organization,address,class_code,class_name,category_code,category_name
0,https://www.seao.ca/OpportunityPublication/ConsulterAvis/Recherche?callingPage=3&ItemId=3da24a16-9afe-4679-a049-e08a7bf08d79&COpp=Search&&searchId=58dcae61-5805-4b3a-b3ec-ab2601150cb1,Achèvement des travaux de modernisation et de réfection à l'usine de production d'eau potable de Pierrefonds,Avis d'appel d'offres,Travaux de construction,Date de publication :,,,"Ville de Montréal
Ville de Montréal - Service de l'eau - Direction de l'eau potable",,"['72101601', '72101701', '72102208', '72102209', '72102302']","['Installation ou réparation de couvertures', 'Services de bétonnage ou de stucage', 'Pose de câbles', 'Tirage de câbles', 'Installation, réparation ou entretien de systèmes de chauffage']",['C03'],['Autres travaux de construction']
1,https://www.seao.ca/OpportunityPublication/ConsulterAvis/Recherche?callingPage=3&ItemId=68f05608-2a8e-453b-99a8-9a26fdca81be&COpp=Search&&searchId=58dcae61-5805-4b3a-b3ec-ab2601150cb1,Construction de chambres de vannes à divers endroits sur le réseau d'aqueduc principal,Avis d'appel d'offres,Travaux de construction,Date de publication :,,,"Ville de Montréal
Ville de Montréal - Service de l'eau - Direction de l'eau potable",,['72000000'],"['Services - bâtiment, travaux de construction et entretien']",['C03'],['Autres travaux de construction']
2,https://www.seao.ca/OpportunityPublication/ConsulterAvis/Recherche?callingPage=3&ItemId=1beff837-6c0b-497c-ba24-1294d3190e49&COpp=Search&&searchId=58dcae61-5805-4b3a-b3ec-ab2601150cb1,Installation de dispositifs anti refoulement dans six usines d'eau potable,Avis d'appel d'offres,Travaux de construction,Date de publication :,,,"Ville de Montréal
Ville de Montréal - Service de l'eau - Direction de l'eau potable",,['72000000'],"['Services - bâtiment, travaux de construction et entretien']",['C03'],['Autres travaux de construction']
3,https://www.seao.ca/OpportunityPublication/ConsulterAvis/Recherche?callingPage=3&ItemId=5ecd4275-1d98-4c2e-b646-79ecf65ff044&COpp=Search&&searchId=58dcae61-5805-4b3a-b3ec-ab2601150cb1,Sécurisation des ouvertures existantes et ajout de systèmes antichute à l'usine Des Baillets,Avis d'appel d'offres,Travaux de construction,Date de publication :,,,"Ville de Montréal
Ville de Montréal - Service de l'eau - Direction de l'eau potable",,['72000000'],"['Services - bâtiment, travaux de construction et entretien']",['C03'],['Autres travaux de construction']
4,https://www.seao.ca/OpportunityPublication/ConsulterAvis/Recherche?callingPage=3&ItemId=c75fc1de-78bb-4828-8198-942be59db640&COpp=Search&&searchId=58dcae61-5805-4b3a-b3ec-ab2601150cb1,Construction d'un bâtiment pour la nouvelle prise d'eau de l'usine Atwater,Avis d'appel d'offres,Travaux de construction,Date de publication :,,,"Ville de Montréal
Ville de Montréal - Service de l'eau - Direction de l'eau potable",,['72000000'],"['Services - bâtiment, travaux de construction et entretien']",['C03'],['Autres travaux de construction']
5,https://www.seao.ca/OpportunityPublication/ConsulterAvis/Recherche?callingPage=3&ItemId=1ad67f43-181d-472b-8634-f490fe905992&COpp=Search&&searchId=58dcae61-5805-4b3a-b3ec-ab2601150cb1,Saint-Liguori - Nouvelle station de traitement des eaux usées,Avis d'appel d'offres,Travaux de construction,Date de publication :,,,Municipalité de Saint-Liguori,,['72000000'],"['Services - bâtiment, travaux de construction et entretien']",['C03'],['Autres travaux de construction']
6,https://www.seao.ca/OpportunityPublication/ConsulterAvis/Recherche?callingPage=3&ItemId=e54671ec-20c1-48de-b858-06134f2638ea&COpp=Search&&searchId=58dcae61-5805-4b3a-b3ec-ab2601150cb1,Fourniture d'une unité de production d'oxygène à la station d'épuration des eaux usées Jean-R.-Marcotte,Avis d'appel d'intérêt ou demande d'information,Travaux de construction,Date de publication :,,,"Ville de Montréal
Ville de Montréal - Service de l'eau - Direction de l'épuration des eaux usées",,"['30222700', '72100000', '72131600', '72131700']","['Ouvrages industriels', ""Services de construction, de réparation et d'entretien d'immeubles"", 'Construction de bâtiments non résidentiels', ""Construction d'infrastructures ou d'ouvrages de génie civil""]",['C03'],['Autres travaux de construction']
7,https://www.seao.ca/OpportunityPublication/ConsulterAvis/Recherche?callingPage=3&ItemId=c87c6180-f180-4c19-a8de-42790a10061e&COpp=Search&&searchId=58dcae61-5805-4b3a-b3ec-ab2601150cb1,Divers travaux électriques et de génie civil aux usines Lachine et Pierrefonds,Avis d'appel d'offres,Travaux de construction,Date de publication :,,,"Ville de Montréal
Ville de Montréal - Service de l'eau - Direction de l'eau potable",,['72000000'],"['Services - bâtiment, travaux de construction et entretien']",['C03'],['Autres travaux de construction']
8,https://www.seao.ca/OpportunityPublication/ConsulterAvis/Recherche?callingPage=3&ItemId=1dfd736e-2dd6-4efb-891f-bc446aef1c9e&COpp=Search&&searchId=58dcae61-5805-4b3a-b3ec-ab2601150cb1,"Remplacement du système de chauffage de l’usine de traitement d’eau potable, Dorval",Avis d'appel d'offres,Travaux de construction,Date de publication :,,,"Ville de Montréal
Ville de Montréal - Service de l'eau - Direction de l'eau potable",,['72000000'],"['Services - bâtiment, travaux de construction et entretien']",['C03'],['Autres travaux de construction']
9,https://www.seao.ca/OpportunityPublication/ConsulterAvis/Recherche?callingPage=3&ItemId=0037b0ef-3fd9-40b8-a27f-f0889038bf5b&COpp=Search&&searchId=58dcae61-5805-4b3a-b3ec-ab2601150cb1,"Construction de deux chambres de vannes de 900 mm et 1200 mm de diamètre sur le chemin de la Côte-Ste-Catherine, à l'angle de l'avenue de Darlington",Avis d'appel d'offres,Travaux de construction,Date de publication :,,,"Ville de Montréal
Ville de Montréal - Service de l'eau - Direction de l'eau potable",,['72000000'],"['Services - bâtiment, travaux de construction et entretien']",['C03'],['Autres travaux de construction']
