,region_name,municipality_name,installation_name,installation_code,latitude,longitude,process_name,process_code
0,Nord-du-Québec,Gouvernement régional d'Eeyou Istchee Baie-James,Radisson (localité) - Approv.,X2114259,49.7566137,-77.6303626256527,Chloration,CHL
1,Nord-du-Québec,Gouvernement régional d'Eeyou Istchee Baie-James,Radisson (localité) - Approv.,X2114259,49.7566137,-77.6303626256527,Filtration,FIL
2,Nord-du-Québec,Gouvernement régional d'Eeyou Istchee Baie-James,Radisson (localité) - Approv.,X2114259,49.7566137,-77.6303626256527,Ozonation,OZ
3,Nord-du-Québec,Gouvernement régional d'Eeyou Istchee Baie-James,Radisson (localité) - Approv.,X2114259,49.7566137,-77.6303626256527,Charbon,CHB
4,Nord-du-Québec,Gouvernement régional d'Eeyou Istchee Baie-James,Radisson (localité) - Approv.,X2114259,49.7566137,-77.6303626256527,Ultraviolet,UB
5,Mauricie,La Tuque,Station de purification La Tuque,X0010734,47.9697886,-73.8151045,Chloration,CHL
6,Mauricie,La Tuque,Station de purification La Tuque,X0010734,47.9697886,-73.8151045,Ultraviolet,UB
7,Lanaudière,Saint-Cuthbert,"Station de purification, St-Cuthbert",90276130,46.14987,-73.227997,Chloration,CHL
8,Lanaudière,Saint-Cuthbert,"Station de purification, St-Cuthbert",90276130,46.14987,-73.227997,Filtration,FIL
9,Capitale-Nationale,Boischatel,Installation de production d'eau potable Boischatel,X0009111,46.896801,-71.135788,Chloration,CHL
10,Capitale-Nationale,Boischatel,Installation de production d'eau potable Boischatel,X0009111,46.896801,-71.135788,Filtration,FIL
11,Montérégie,Carignan,Station de purification Régie secteau Chambly-Richelieu-Marieville,18188581,45.437955,-73.3554902,Chloration,CHL
12,Montérégie,Carignan,Station de purification Régie secteau Chambly-Richelieu-Marieville,18188581,45.437955,-73.3554902,Filtration,FIL
13,Montérégie,Carignan,Station de purification Régie secteau Chambly-Richelieu-Marieville,18188581,45.437955,-73.3554902,Ultraviolet,UB
14,Saguenay—Lac-Saint-Jean,Roberval,Station de purification Roberval (station purification),X0010100,48.514785,-72.224808,Chloration,CHL
15,Saguenay—Lac-Saint-Jean,Roberval,Station de purification Roberval (station purification),X0010100,48.514785,-72.224808,Filtration,FIL
16,Estrie,Windsor,Station de purification Windsor,X0500436,45.5699828,-72.003402,Chloration,CHL
17,Estrie,Windsor,Station de purification Windsor,X0500436,45.5699828,-72.003402,Filtration,FIL
18,Laurentides,Sainte-Sophie,Station de purification - Ste-Sophie (sta.pur.),X0008782,45.818718,-73.8991887,Chloration,CHL
19,Laurentides,Sainte-Sophie,Station de purification - Ste-Sophie (sta.pur.),X0008782,45.818718,-73.8991887,Filtration,FIL
20,Centre-du-Québec,Saint-Pierre-les-Becquets,Station de purification Saint-Pierre-les-Becque. (post.chl.),X0010543,46.502882,-72.203522,Chloration,CHL
21,Centre-du-Québec,Saint-Pierre-les-Becquets,Station de purification Saint-Pierre-les-Becque. (post.chl.),X0010543,46.502882,-72.203522,Filtration,FIL
22,Centre-du-Québec,Saint-Pierre-les-Becquets,Station de purification Saint-Pierre-les-Becque. (post.chl.),X0010543,46.502882,-72.203522,Ultraviolet,UB
23,Outaouais,Bryson,Station de purification Bryson (post.chl.),X0009407,45.6749131,-76.6186413,Chloration,CHL
24,Lanaudière,Berthierville,"Station de purification, Berthierville",X0008659,46.0828098,-73.1747099,Chloration,CHL
25,Lanaudière,Berthierville,"Station de purification, Berthierville",X0008659,46.0828098,-73.1747099,Filtration,FIL
26,Lanaudière,Berthierville,"Station de purification, Berthierville",X0008659,46.0828098,-73.1747099,Ultraviolet,UB
27,Outaouais,Portage-du-Fort,Station de purification Portage-du-Fort (post.chl.),X0009422,45.593861,-76.662254,Chloration,CHL
28,Estrie,Potton,Station de purification Potton-Secteur Owl's Head,X0008501,45.08306525,-72.381609047102,Chloration,CHL
29,Estrie,Potton,Station de purification Potton-Secteur Owl's Head,X0008501,45.08306525,-72.381609047102,Filtration,FIL
30,Estrie,Potton,Station de purification Potton-Secteur Owl's Head,X0008501,45.08306525,-72.381609047102,Ultraviolet,UB
31,Montérégie,Sainte-Barbe,Station de purification Ste-Barbe - trait. complet,X2135885,45.163144,-74.1955876,Chloration,CHL
32,Montérégie,Sainte-Barbe,Station de purification Ste-Barbe - trait. complet,X2135885,45.163144,-74.1955876,Filtration,FIL
33,Montérégie,Sainte-Barbe,Station de purification Ste-Barbe - trait. complet,X2135885,45.163144,-74.1955876,Ultraviolet,UB
34,Outaouais,Gracefield,Station de purification Gracefield (post.chl.),X0008146,46.0933721,-76.0531906,Chloration,CHL
35,Outaouais,Gracefield,Station de purification Gracefield (post.chl.),X0008146,46.0933721,-76.0531906,Filtration,FIL
36,Outaouais,Gracefield,Station de purification Gracefield (post.chl.),X0008146,46.0933721,-76.0531906,Ozonation,OZ
37,Outaouais,Gracefield,Station de purification Gracefield (post.chl.),X0008146,46.0933721,-76.0531906,Charbon,CHB
38,Laval,Laval,Usine de filtration Sainte-Rose (eau potable),X1300278,45.60558895,-73.7344173056906,Chloration,CHL
39,Laval,Laval,Usine de filtration Sainte-Rose (eau potable),X1300278,45.60558895,-73.7344173056906,Filtration,FIL
40,Laval,Laval,Usine de filtration Sainte-Rose (eau potable),X1300278,45.60558895,-73.7344173056906,Ozonation,OZ
41,Laval,Laval,Usine de filtration Sainte-Rose (eau potable),X1300278,45.60558895,-73.7344173056906,Charbon,CHB
42,Nord-du-Québec,Akulivik,Akulivik - Approvisionnement,X2114284,60.8815681,-77.8102861666002,Chloration,CHL
43,Nord-du-Québec,Akulivik,Akulivik - Approvisionnement,X2114284,60.8815681,-77.8102861666002,Filtration,FIL
44,Nord-du-Québec,Akulivik,Akulivik - Approvisionnement,X2114284,60.8815681,-77.8102861666002,Ultraviolet,UB
45,Montérégie,Saint-Pie,Station de purification Ville de St-Pie (filtration),X2067353,45.504903,-72.905273,Chloration,CHL
46,Montérégie,Saint-Pie,Station de purification Ville de St-Pie (filtration),X2067353,45.504903,-72.905273,Filtration,FIL
47,Montérégie,Saint-Pie,Station de purification Ville de St-Pie (filtration),X2067353,45.504903,-72.905273,Charbon,CHB
48,Gaspésie—Îles-de-la-Madeleine,Percé,Station de purification - Percé (poste chl.),X0009061,48.5222989,-64.2136423,Chloration,CHL
49,Montréal,Pointe-Claire,Station de purification Pointe-Claire (usine),X0008943,45.4566767,-73.8067442,Chloration,CHL
50,Montréal,Pointe-Claire,Station de purification Pointe-Claire (usine),X0008943,45.4566767,-73.8067442,Filtration,FIL
51,Montréal,Pointe-Claire,Station de purification Pointe-Claire (usine),X0008943,45.4566767,-73.8067442,Charbon,CHB
52,Laurentides,Deux-Montagnes,Station de purification - Deux-Montagnes,X0010573,45.5255369,-73.9981516,Chloration,CHL
53,Laurentides,Deux-Montagnes,Station de purification - Deux-Montagnes,X0010573,45.5255369,-73.9981516,Filtration,FIL
54,Laurentides,Deux-Montagnes,Station de purification - Deux-Montagnes,X0010573,45.5255369,-73.9981516,Ultraviolet,UB
55,Saguenay—Lac-Saint-Jean,Dolbeau-Mistassini,Poste d'eau potable du secteur Mistassini,X0010045,48.883231,-72.233734,Chloration,CHL
56,Saguenay—Lac-Saint-Jean,Dolbeau-Mistassini,Poste d'eau potable du secteur Mistassini,X0010045,48.883231,-72.233734,Filtration,FIL
57,Estrie,Danville,Station de purification Danville,X0008336,45.785278,-72.0158562,Chloration,CHL
58,Estrie,Danville,Station de purification Danville,X0008336,45.785278,-72.0158562,Filtration,FIL
59,Montérégie,Bedford,Station de purification - Ville de Bedford,X0008496,45.120537,-72.988701,Chloration,CHL
60,Montérégie,Bedford,Station de purification - Ville de Bedford,X0008496,45.120537,-72.988701,Filtration,FIL
61,Montérégie,Bedford,Station de purification - Ville de Bedford,X0008496,45.120537,-72.988701,Charbon,CHB
62,Chaudière-Appalaches,Lac-Etchemin,Installation de production Lac-Etchemin,X0008245,46.398804,-70.508194,Chloration,CHL
63,Chaudière-Appalaches,Lac-Etchemin,Installation de production Lac-Etchemin,X0008245,46.398804,-70.508194,Filtration,FIL
64,Chaudière-Appalaches,Lac-Etchemin,Installation de production Lac-Etchemin,X0008245,46.398804,-70.508194,Ozonation,OZ
65,Gaspésie—Îles-de-la-Madeleine,Gaspé,Système d'approvisionnement sans traitement - Coopérative d'aqueduc de L'Anse au Griffon,X1101278,48.6580556,-65.7527778,None,None
66,Côte-Nord,Chute-aux-Outardes,Station de purification Chutes-aux-Outardes (post.chl.),X0008237,49.1260796,-68.3928985,Chloration,CHL
67,Lanaudière,L'Épiphanie,"Station de purification, L'Épiphanie",X0008718,45.8496673,-73.4820525,Chloration,CHL
68,Lanaudière,L'Épiphanie,"Station de purification, L'Épiphanie",X0008718,45.8496673,-73.4820525,Filtration,FIL
69,Lanaudière,L'Épiphanie,"Station de purification, L'Épiphanie",X0008718,45.8496673,-73.4820525,Ozonation,OZ
70,Lanaudière,L'Épiphanie,"Station de purification, L'Épiphanie",X0008718,45.8496673,-73.4820525,Ultraviolet,UB
71,Saguenay—Lac-Saint-Jean,Dolbeau-Mistassini,Station de purification Dolbeau (stat. pur.),X0009850,48.883231,-72.233734,Chloration,CHL
72,Saguenay—Lac-Saint-Jean,Dolbeau-Mistassini,Station de purification Dolbeau (stat. pur.),X0009850,48.883231,-72.233734,Filtration,FIL
73,Laurentides,Sainte-Thérèse,Station de purification - Ste-Thérèse (sta. pur.),X0008104,45.6342923,-73.8362379,Chloration,CHL
74,Laurentides,Sainte-Thérèse,Station de purification - Ste-Thérèse (sta. pur.),X0008104,45.6342923,-73.8362379,Filtration,FIL
75,Laurentides,Sainte-Thérèse,Station de purification - Ste-Thérèse (sta. pur.),X0008104,45.6342923,-73.8362379,Ozonation,OZ
76,Laurentides,Sainte-Thérèse,Station de purification - Ste-Thérèse (sta. pur.),X0008104,45.6342923,-73.8362379,Charbon,CHB
77,Abitibi-Témiscamingue,Macamic,Macamic - Approvisionnement,X2114265,48.7554185,-79.0011559,Chloration,CHL
78,Abitibi-Témiscamingue,Macamic,Macamic - Approvisionnement,X2114265,48.7554185,-79.0011559,Filtration,FIL
79,Abitibi-Témiscamingue,Macamic,Macamic - Approvisionnement,X2114265,48.7554185,-79.0011559,Charbon,CHB
80,Estrie,Saint-Benoît-du-Lac,Station de purification St-Benoît-du-Lac,X0008273,45.167757,-72.268753,Chloration,CHL
81,Estrie,Saint-Benoît-du-Lac,Station de purification St-Benoît-du-Lac,X0008273,45.167757,-72.268753,Filtration,FIL
82,Estrie,Saint-Benoît-du-Lac,Station de purification St-Benoît-du-Lac,X0008273,45.167757,-72.268753,Ultraviolet,UB
83,Capitale-Nationale,Saint-Thuribe,Installation de production d'eau potable Saint-Casimir,X0010389,46.7080891,-72.1632861,Chloration,CHL
84,Capitale-Nationale,Saint-Thuribe,Installation de production d'eau potable Saint-Casimir,X0010389,46.7080891,-72.1632861,Filtration,FIL
85,Côte-Nord,Côte-Nord-du-Golfe-du-Saint-Laurent,Station de purification (Harrington-Harbour 2011),X2132535,50.48120355,-59.7830105013592,Chloration,CHL
86,Côte-Nord,Côte-Nord-du-Golfe-du-Saint-Laurent,Station de purification (Harrington-Harbour 2011),X2132535,50.48120355,-59.7830105013592,Filtration,FIL
87,Côte-Nord,Côte-Nord-du-Golfe-du-Saint-Laurent,Station de purification (Harrington-Harbour 2011),X2132535,50.48120355,-59.7830105013592,Ultraviolet,UB
88,Gaspésie—Îles-de-la-Madeleine,Gaspé,Système d'approv. sans traitement - Aqueduc la montagne (Gaspé secteur Anse-à-Valleau),X1101276,48.6580556,-65.7527778,None,None
89,Laurentides,Mont-Tremblant,Station de purification - Mont-tremblant (Lac Tremblant),X0008875,46.11588,-74.5891426,Chloration,CHL
90,Laurentides,Mont-Tremblant,Station de purification - Mont-tremblant (Lac Tremblant),X0008875,46.11588,-74.5891426,Filtration,FIL
91,Saguenay—Lac-Saint-Jean,Lac-Bouchette,Station d'approvisionnement Lac-Bouchette,X2105066,48.2407963,-72.2034111145962,Chloration,CHL
92,Saguenay—Lac-Saint-Jean,Lac-Bouchette,Station d'approvisionnement Lac-Bouchette,X2105066,48.2407963,-72.2034111145962,Filtration,FIL
93,Saguenay—Lac-Saint-Jean,Lac-Bouchette,Station d'approvisionnement Lac-Bouchette,X2105066,48.2407963,-72.2034111145962,Ultraviolet,UB
94,Centre-du-Québec,Nicolet,Station de purification Nicolet. (sta.pur.),X0008234,46.2273284,-72.6191889,Chloration,CHL
95,Centre-du-Québec,Nicolet,Station de purification Nicolet. (sta.pur.),X0008234,46.2273284,-72.6191889,Filtration,FIL
96,Bas-Saint-Laurent,Saint-Donat,Station de purification Saint-Donat,X0009746,48.497498,-68.247757,Chloration,CHL
97,Lanaudière,Terrebonne,"Station de purification, Terrebonne, Régie intermunicipale des Moulins",24846859,45.7081005,-73.6515157,Chloration,CHL
98,Lanaudière,Terrebonne,"Station de purification, Terrebonne, Régie intermunicipale des Moulins",24846859,45.7081005,-73.6515157,Filtration,FIL
99,Lanaudière,Terrebonne,"Station de purification, Terrebonne, Régie intermunicipale des Moulins",24846859,45.7081005,-73.6515157,Ozonation,OZ
100,Lanaudière,Terrebonne,"Station de purification, Terrebonne, Régie intermunicipale des Moulins",24846859,45.7081005,-73.6515157,Ultraviolet,UB
101,Lanaudière,Saint-Charles-Borromée,"Station de purification d'eau potable, St-Charles-Borromée municipal",X0009159,46.04931435,-73.4733143041748,Chloration,CHL
102,Lanaudière,Saint-Charles-Borromée,"Station de purification d'eau potable, St-Charles-Borromée municipal",X0009159,46.04931435,-73.4733143041748,Filtration,FIL
103,Lanaudière,Saint-Charles-Borromée,"Station de purification d'eau potable, St-Charles-Borromée municipal",X0009159,46.04931435,-73.4733143041748,Ozonation,OZ
104,Lanaudière,Saint-Charles-Borromée,"Station de purification d'eau potable, St-Charles-Borromée municipal",X0009159,46.04931435,-73.4733143041748,Charbon,CHB
105,Saguenay—Lac-Saint-Jean,Sainte-Jeanne-d'Arc,Poste d'eau potable de Sainte-Jeanne-d'Arc,X0009834,48.8650471,-72.0840192,Chloration,CHL
106,Saguenay—Lac-Saint-Jean,Sainte-Jeanne-d'Arc,Poste d'eau potable de Sainte-Jeanne-d'Arc,X0009834,48.8650471,-72.0840192,Filtration,FIL
107,Saguenay—Lac-Saint-Jean,Sainte-Jeanne-d'Arc,Poste d'eau potable de Sainte-Jeanne-d'Arc,X0009834,48.8650471,-72.0840192,Ultraviolet,UB
