region_name,municipality_name,installation_name,installation_code,process_name,process_code
Abitibi-Témiscamingue,Belleterre,Belleterre - Approvisionnement,X2114564,Chloration,CHL
Abitibi-Témiscamingue,Latulipe-et-Gaboury,Latulipe-et-Gaboury - Approv.,X2114246,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Abitibi-Témiscamingue,Laverlochère-Angliers,Angliers - Approvisionnement,X2114253,Chloration,CHL
Abitibi-Témiscamingue,Macamic,Macamic - Approvisionnement,X2114265,"Chloration
Filtration
Charbon","CHL
FIL
CHB"
Abitibi-Témiscamingue,Rouyn-Noranda,Station de purification Rouyn-noranda,X2114341,"Chloration
Filtration
Charbon","CHL
FIL
CHB"
Abitibi-Témiscamingue,Témiscaming,Témiscaming - Approvisionnement,X2114319,"Chloration
Filtration","CHL
FIL"
Bas-Saint-Laurent,Dégelis,Station de purification Dégelis,X2114834,"Chloration
Filtration
Charbon","CHL
FIL
CHB"
Bas-Saint-Laurent,Grosses-Roches,Station de purification Grosses-Roches,X0009832,"Chloration
Ultraviolet","CHL
UB"
Bas-Saint-Laurent,La Rédemption,Station de purification La Rédemption,X0009775,Chloration,CHL
Bas-Saint-Laurent,Lac-au-Saumon,Station de purification Lac-au-Saumon,X0008358,Chloration,CHL
Bas-Saint-Laurent,Lac-au-Saumon,Système d'approvisionnement sans traitement Parc maison mobile Parent - Réseau 1,X2114824,,
Bas-Saint-Laurent,Lac-au-Saumon,Système d'approvisionnement sans traitement Parc maison mobile Parent - Réseau 2,X2114826,,
Bas-Saint-Laurent,Les Méchins,Station de purification Les Méchins - Nouvelle usine,X2124553,"Chloration
Filtration
Ozonation","CHL
FIL
OZ"
Bas-Saint-Laurent,Mont-Carmel,Station de purification Mont-Carmel,X0008713,"Chloration
Filtration","CHL
FIL"
Bas-Saint-Laurent,Mont-Joli,Station de purification Mont-Joli,X0009742,"Chloration
Filtration
Ultraviolet","CHL
FIL
UB"
Bas-Saint-Laurent,Notre-Dame-des-Neiges,Station de purification Trois-Pistoles (nouvelle usine),X2067217,"Chloration
Filtration
Charbon
Ultraviolet","CHL
FIL
CHB
UB"
Bas-Saint-Laurent,Rivière-du-Loup,Station de purification Rivière-du-Loup,X0008221,"Chloration
Filtration","CHL
FIL"
