Région administrative,Nom de la municipalité,Numéro de l'installation de production,Nom de l'installation de production d'eau potable,Procédé de traitement
Abitibi-Témiscamingue,Belleterre,X2114564,Belleterre - Approvisionnement,Chloration
Abitibi-Témiscamingue,Latulipe-et-Gaboury,X2114246,Latulipe-et-Gaboury - Approv.,"Chloration
Filtration
Ultraviolet"
Abitibi-Témiscamingue,Laverlochère-Angliers,X2114253,Angliers - Approvisionnement,Chloration
Abitibi-Témiscamingue,Macamic,X2114265,Macamic - Approvisionnement,"Chloration
Filtration
Charbon"
Abitibi-Témiscamingue,Rouyn-Noranda,X2114341,Station de purification Rouyn-noranda,"Chloration
Filtration
Charbon"
Abitibi-Témiscamingue,Témiscaming,X2114319,Témiscaming - Approvisionnement,"Chloration
Filtration"
Bas-Saint-Laurent,Dégelis,X2114834,Station de purification Dégelis,"Chloration
Filtration
Charbon"
Bas-Saint-Laurent,Grosses-Roches,X0009832,Station de purification Grosses-Roches,"Chloration
Ultraviolet"
Bas-Saint-Laurent,La Rédemption,X0009775,Station de purification La Rédemption,Chloration
Bas-Saint-Laurent,Lac-au-Saumon,X0008358,Station de purification Lac-au-Saumon,Chloration
Bas-Saint-Laurent,Lac-au-Saumon,X2114824,Système d'approvisionnement sans traitement Parc maison mobile Parent - Réseau 1,
Bas-Saint-Laurent,Lac-au-Saumon,X2114826,Système d'approvisionnement sans traitement Parc maison mobile Parent - Réseau 2,
Bas-Saint-Laurent,Les Méchins,X2124553,Station de purification Les Méchins - Nouvelle usine,"Chloration
Filtration
Ozonation"
Bas-Saint-Laurent,Mont-Carmel,X0008713,Station de purification Mont-Carmel,"Chloration
Filtration"
Bas-Saint-Laurent,Mont-Joli,X0009742,Station de purification Mont-Joli,"Chloration
Filtration
Ultraviolet"
Bas-Saint-Laurent,Notre-Dame-des-Neiges,X2067217,Station de purification Trois-Pistoles (nouvelle usine),"Chloration
Filtration
Charbon
Ultraviolet"
Bas-Saint-Laurent,Rivière-du-Loup,X0008221,Station de purification Rivière-du-Loup,"Chloration
Filtration"
Bas-Saint-Laurent,Saint-Donat,X0009746,Station de purification Saint-Donat,Chloration
Bas-Saint-Laurent,Saint-Elzéar-de-Témiscouata,X2052656,Système d'approvisionnement sans traitement Village Saint-Elzéar,
Bas-Saint-Laurent,Saint-Fabien,X0009793,Station de purification Saint-Fabien,"Chloration
Filtration"
Bas-Saint-Laurent,Saint-Gabriel-de-Rimouski,X0010622,Station de purification Saint-Gabriel-de-Rimouski,Chloration
Bas-Saint-Laurent,Saint-Pascal,X0008679,Station de purification Saint-Pascal,"Chloration
Filtration"
Bas-Saint-Laurent,Saint-Ulric,X0009858,Station de purification Saint-Ulric,Chloration
Bas-Saint-Laurent,Sainte-Anne-de-la-Pocatière,X0008614,Station de purification La Pocatière,"Chloration
Filtration"
Bas-Saint-Laurent,Sainte-Félicité,X0009842,Station de purification Sainte-Félicité,Chloration
Bas-Saint-Laurent,Sayabec,X0010453,Station de purification Sayabec,Chloration
Bas-Saint-Laurent,Témiscouata-sur-le-Lac,X2124413,Station de purification Cabano (nouvelle usine),"Chloration
Filtration"
Bas-Saint-Laurent,Témiscouata-sur-le-Lac,X0008840,Station de purification Notre-Dame-du-Lac,Chloration
Capitale-Nationale,Beaupré,X0008975,Installation de production d'eau potable Beaupré,"Chloration
Filtration"
Capitale-Nationale,Boischatel,X0009111,Installation de production d'eau potable Boischatel,"Chloration
Filtration"
Capitale-Nationale,Château-Richer,X0008998,Installation de production d'eau potable Chateau-Richer,"Chloration
Filtration
Ultraviolet"
Capitale-Nationale,Donnacona,X0008212,Installation de production d'eau potable Donnacona,"Chloration
Filtration"
Capitale-Nationale,Québec,X0010056,Installation de production d'eau potable - UTE Beauport,"Chloration
Filtration
Ozonation"
Capitale-Nationale,Québec,X0010062,Installation de production d'eau potable - UTE Charlesbourg,"Chloration
Filtration
Ozonation
Charbon"
Capitale-Nationale,Québec,X0008181,Installation de production d'eau potable - UTE Québec,"Chloration
Filtration
Ozonation"
Capitale-Nationale,Québec,X0008186,Installation de production d'eau potable - UTE Sainte-Foy,"Chloration
Filtration
Ozonation"
Capitale-Nationale,Saint-Casimir,X0010389,Installation de production d'eau potable Saint-Casimir,"Chloration
Filtration"
Capitale-Nationale,Saint-Casimir,X2111605,"Installation de production d'eau potable Saint-Casimir, Pied de la Montagne","Chloration
Filtration"
Capitale-Nationale,Saint-Irénée,X0008788,Installation de production d'eau potable Saint-Irénée,"Chloration
Filtration
Ultraviolet"
Capitale-Nationale,Saint-Thuribe,X0010389,Installation de production d'eau potable Saint-Casimir,"Chloration
Filtration"
Capitale-Nationale,Sainte-Catherine-de-la-Jacques-Cartier,X0010966,Installation de production d'eau potable Duchesnay,"Chloration
Filtration"
Centre-du-Québec,Bécancour,X0008299,Station de purification Bécancour (sta.pur.),"Chloration
Filtration
Ozonation"
Centre-du-Québec,Daveluyville,X0008651,Station de purification Daveluyville. (sta. pur.),"Chloration
Filtration
Charbon"
Centre-du-Québec,Drummondville,X0010740,Installation de production Drummondville (sta. pur.),"Chloration
Filtration
Charbon"
Centre-du-Québec,Nicolet,X0008234,Station de purification Nicolet. (sta.pur.),"Chloration
Filtration"
