,region_name,municipality_name,municipality_code,latitude,longitude,process_name,process_code
291,Chaudière-Appalaches,SAINT-HENRI,21140-1,45.4784602,-73.5846178,Étangs aérés,EA
233,Chaudière-Appalaches,BEAULAC,26200-1,46.0425582,-73.8798435,Étangs aérés,EA
81,Bas-Saint-Laurent,RIVIÈRE-OUELLE,14065-1,47.4324048,-70.0180938,Étangs à rétention réduite,ERR
374,Estrie,ASBESTOS,35700-1,45.776623,-71.932297,Boues activées,BA
79,Bas-Saint-Laurent,RIVIÈRE-BLEUE,09310-1,46.7189379,-78.4318452,Étangs aérés,EA
738,Montérégie,VAUDREUIL-DORION (2013),71083-1,45.3971509,-74.0254577,Boues activées,BA
473,Gaspésie--Îles-de-la-Madeleine,PERCÉ,02150-1,48.5222989,-64.2136423,Disques biologiques,BD
499,Lanaudière,SAINT-BARTHÉLEMY,52055-1,46.1912244,-73.1199,Étangs aérés,EA
593,Mauricie,SAINT-NARCISSE (MAURICIE),37040-1,46.564054,-72.472,Étangs aérés,EA
186,Capitale-Nationale,STONEHAM,20560-1,46.9959078,-71.3658466,Étangs aérés,EA
264,Chaudière-Appalaches,NOTRE-DAME-DU-ROSAIRE,18040-1,48.7906285,-71.4266317,Étangs aérés,EA
685,Montérégie,SAINT-HYACINTHE,51460-1,45.627484,-72.940636,Boues activées,BA
128,Bas-Saint-Laurent,SAINTE-ANGÈLE-DE-MÉRICI,09035-1,48.525245,-68.078842,Étangs aérés,EA
806,Saguenay--Lac-Saint-Jean,MÉTABETCHOUAN (MÉTABETCHOUAN),93320-1,48.429201,-71.871872,Étangs aérés,EA
