,region_name,municipality_name,municipality_code,latitude,longitude,process_name,process_code
277,Chaudière-Appalaches,SAINT-CÔME-LINIÈRE,23170-1,46.0594665,-70.5233714,Étangs aérés,EA
48,Abitibi-Témiscamingue,VAL-D'OR,84180-1,48.1023356,-77.7875715,Boues activées,BA
196,Centre-du-Québec,DRUMMONDVILLE,41720-1,45.8864303,-72.5018764,Étangs aérés,EA
62,Bas-Saint-Laurent,L'ISLE-VERTE,12040-1,48.01519,-69.337463,Étangs aérés,EA
151,Capitale-Nationale,FOSSAMBAULT-SUR-LE-LAC (2013),22010-1,46.871928,-71.6185,Étangs aérés,EA
687,Montérégie,SAINT-JEAN-BAPTISTE,52600-1,45.5206312,-73.1238278,Boues activées,BA
542,Laurentides,MIRABEL (SAINT-BENOIT),73650-3,45.5700332,-74.1002269590541,Étangs aérés,EA
468,Gaspésie--Îles-de-la-Madeleine,MONT-SAINT-PIERRE,04015-1,45.8889471,-71.2433752,Étangs à rétention réduite,ERR
210,Centre-du-Québec,SAINT-ALBERT,34680-1,46.0003622,-72.0885118,Étangs aérés,EA
127,Bas-Saint-Laurent,SAINT-VIANNEY,07075-1,48.6161868,-67.4131243,Étangs non aérés et filtre,ENAF
233,Chaudière-Appalaches,BEAULAC,26200-1,46.0425582,-73.8798435,Étangs aérés,EA
532,Laurentides,DEUX-MONTAGNES,73180-1,45.5255369,-73.9981516,Étangs aérés,EA
300,Chaudière-Appalaches,SAINT-JUST-DE-BRETENIÈRES,18005-1,46.567358,-70.094147,Étangs à rétention réduite,ERR
428,Estrie,SAINTE-CÉCILE-DE-WHITTON,30050-1,45.6675142,-70.9410513,Étangs aérés,EA
89,Bas-Saint-Laurent,SAINT-CHARLES-GARNIER,09010-1,48.342103,-68.04657,Étangs aérés,EA
37,Abitibi-Témiscamingue,ROUYN-NORANDA (GRANADA),83670-1,48.2420524,-79.0205378,Étangs aérés,EA
737,Montérégie,VAUDREUIL-DORION,72260-1,45.3971509,-74.0254577,Boues activées,BA
79,Bas-Saint-Laurent,RIVIÈRE-BLEUE,09310-1,46.7189379,-78.4318452,Étangs aérés,EA
276,Chaudière-Appalaches,SAINT-CHARLES-DE-BELLECHASSE,15600-1,46.77232,-70.940781,Boues activées,BA
179,Capitale-Nationale,SAINT-UBALDE,29720-1,46.755857,-72.268753,Étangs aérés,EA
757,Nord-du-Québec,LEBEL-SUR-QUÉVILLON,99005-1,49.0532523,-76.9811596,Étangs aérés,EA
383,Estrie,COMPTON,25380-1,45.243228,-71.827927,Étangs aérés,EA
597,Mauricie,SAINT-SÉVERIN (MAURICIE),35020-1,46.6660035,-72.5008541,Étangs aérés,EA
492,Lanaudière,LAVALTRIE,52005-1,45.883078,-73.282242,Étangs aérés,EA
323,Chaudière-Appalaches,SAINT-PROSPER,22180-1,46.211675,-70.481071,Étangs aérés,EA
432,Estrie,SHERBROOKE (BROMPTONVILLE),35170-1,45.4727625,-71.9452262,Étangs aérés,EA
314,Chaudière-Appalaches,SAINT-NAZAIRE-DE-DORCHESTER (2012),19015-2,46.55407145,-70.6457086022064,Disques biologiques,BD
359,Côte-Nord,HAVRE-SAINT-PIERRE,98040-1,50.2463647,-63.6003951,Dégrillage fin,DEG
798,Saguenay--Lac-Saint-Jean,HÉBERTVILLE-STATION,93025-1,48.4451647,-71.6645532,Étangs aérés,EA
124,Bas-Saint-Laurent,SAINT-ULRIC,08073-1,48.7881708,-67.6961193,Étangs à rétention réduite,ERR
668,Montérégie,SAINT-ALEXANDRE,53450-1,45.23026655,-73.1245247606286,Étangs aérés,EA
342,Chaudière-Appalaches,SAINTS-ANGES,23640-1,46.417979,-70.876923,Étangs aérés,EA
644,Montérégie,HUNTINGDON,69055-1,45.087339,-74.173851,Étangs aérés,EA
728,Montérégie,SAINTE-VICTOIRE-DE-SOREL,53025-1,45.94924,-73.088951,Étangs aérés,EA
635,Montérégie,DUNHAM,54450-1,45.130469,-72.800903,Étangs aérés,EA
11,Montérégie,FRELIGHSBURG,46010-1,45.056061,-72.836609,Roseaux (marais artificiel),ROS
341,Chaudière-Appalaches,SAINTE-ROSE-DE-WATFORD,28030-1,46.3197847,-70.4270505,Étangs aérés,EA
450,Gaspésie--Îles-de-la-Madeleine,CAPLAN,05060-1,48.1026975,-65.6834382,Dégrillage fin,DEG
746,Nord-du-Québec,AKULIVIK,99125-1,60.8815681,-77.8102861666002,Étangs non aérés,ENA
206,Centre-du-Québec,NOTRE-DAME-DU-BON-CONSEIL,49075-1,46.00197,-72.341881,Étangs aérés,EA
241,Chaudière-Appalaches,FRAMPTON,26005-1,46.463403,-70.807571,Étangs aérés,EA
697,Montérégie,SAINT-MATHIEU-DE-BELOEIL (EA),57045-2,45.6044349,-73.2492469,Étangs aérés,EA
444,Estrie,WATERVILLE,25440-1,45.277061,-71.890755,Étangs aérés,EA
465,Gaspésie--Îles-de-la-Madeleine,MARIA,04460-1,52.4760892,-71.8258668,Étangs aérés,EA
39,Abitibi-Témiscamingue,SAINT-BRUNO-DE-GUIGUES,83380-1,47.462451,-79.439392,Étangs non aérés,ENA
742,Montérégie,WATERLOO,39160-1,45.3441569,-72.5162169,Étangs aérés,EA
786,Saguenay--Lac-Saint-Jean,ALBANEL,90310-1,48.883683,-72.442474,Étangs aérés,EA
194,Centre-du-Québec,DAVELUYVILLE,39155-1,46.20431,-72.137604,Étangs aérés,EA
749,Nord-du-Québec,FERMONT (2011),97035-2,52.7931065,-67.0845797,Étangs aérés,EA
278,Chaudière-Appalaches,SAINT-CYPRIEN (ETCHEMINS),28040-1,46.3532314,-70.2638519,Étangs aérés,EA
636,Montérégie,FARNHAM,54750-1,45.2831,-72.974968,Boues activées,BA
509,Lanaudière,SAINT-IGNACE-DE-LOYOLA,52045-1,46.0653897,-73.1321284,Étangs aérés,EA
813,Saguenay--Lac-Saint-Jean,SAGUENAY (LA BAIE),94190-1,48.3820121,-71.147339,Boues activées,BA
373,Côte-Nord,TADOUSSAC,95005-1,48.1433429,-69.7174574,Dégrillage fin,DEG
834,Saguenay--Lac-Saint-Jean,SAINT-PRIME,90190-1,48.593413,-72.335358,Étangs aérés,EA
566,Laurentides,SAINTE-AGATHE-DES-MONTS,63610-1,46.046072,-74.279938,Boues activées,BA
265,Chaudière-Appalaches,SAINT-ADALBERT,17015-1,46.864416,-69.898453,Étangs aérés,EA
617,Mauricie,YAMACHICHE,43270-1,46.282428,-72.830772,Étangs aérés,EA
198,Centre-du-Québec,GRAND-SAINT-ESPRIT,50065-1,46.182683,-72.498436,Étangs aérés,EA
415,Estrie,SAINT-DENIS-DE-BROMPTON (BROMPTON),42025-1,45.4583544,-72.0799033,Étangs aérés,EA
670,Montérégie,SAINT-AMABLE,59015-1,45.652688,-73.295631,Étangs aérés,EA
675,Montérégie,SAINT-CHARLES-SUR-RICHELIEU,57057-1,45.6899758,-73.1858228,Étangs à rétention réduite,ERR
99,Bas-Saint-Laurent,SAINT-FABIEN,07680-1,48.2950199,-68.8678927,Étangs aérés,EA
422,Estrie,SAINT-LUDGER,24170-1,45.742131,-70.694618,Étangs aérés,EA
469,Gaspésie--Îles-de-la-Madeleine,NEW RICHMOND,04360-1,48.1651194,-65.8655584,Étangs aérés,EA
754,Nord-du-Québec,KANGIRSUK,99110-1,60.0806032,-70.1966928352944,Étangs non aérés,ENA
610,Mauricie,SHAWINIGAN-SUD,32360-1,46.5184139,-72.7480689,Étangs aérés,EA
26,Abitibi-Témiscamingue,LAVERLOCHÈRE,85050-1,47.4397471,-79.2975361257108,Étangs aérés,EA
40,Abitibi-Témiscamingue,SAINT-ÉDOUARD-DE-FABRE,83300-1,47.1996781,-79.3652975,Étangs non aérés,ENA
549,Laurentides,MONT-TREMBLANT (STATION MONT-TREMBLANT),78102-2,46.11588,-74.5891426,Étangs aérés,EA
223,Centre-du-Québec,SAINTE-EULALIE,33470-1,46.111802,-72.250557,Étangs non aérés,ENA
627,Montérégie,CARIGNAN (2012),57010-2,45.437955,-73.3554902,Étangs aérés,EA
506,Lanaudière,SAINT-ESPRIT,61200-1,45.898371,-73.666077,Étangs aérés,EA
699,Montérégie,SAINT-NAZAIRE-D'ACTON,48050-1,45.7374544,-72.6195283,Étangs aérés,EA
694,Montérégie,SAINT-LOUIS-DE-GONZAGUE,70035-1,46.267003,-70.328979,Étangs aérés,EA
289,Chaudière-Appalaches,SAINT-GERVAIS,15570-1,46.7143985,-70.8891841,Étangs aérés,EA
417,Estrie,SAINT-DENIS-DE-BROMPTON (VILLAGE),35220-2,45.457963,-72.080612,Étangs aérés,EA
164,Capitale-Nationale,QUÉBEC (OUEST),00020-2,46.79954745,-71.2247543945557,Biofiltration,BF
729,Montérégie,SALABERRY-DE-VALLEYFIELD,70670-1,45.2555625,-74.1316153,Boues activées,BA
703,Montérégie,SAINT-PAUL-DE-L'ÎLE-AUX-NOIX,56035-1,45.1295806,-73.2784617,Étangs à rétention réduite,ERR
31,Abitibi-Témiscamingue,PALMAROLLE,87025-1,48.661943,-79.200439,Étangs aérés,EA
545,Laurentides,MIRABEL (SAINTE-MARIANNE),74005-1,45.66032135,-73.908063141653,Étangs aérés,EA
163,Capitale-Nationale,QUÉBEC (EST),00020-1,46.8420262,-71.2750519,Biofiltration,BF
